phylum,CF_id,positive_species,total_species_in_phylum,percentage
Bacillota,CF9_9,22296,205871,10.830082916000796
Bacteroidota,CF0,450,89203,0.5044673385424258
Bacteroidota,CF1,15415,89203,17.28080894140332
Bacteroidota,CF10,242,89203,0.2712913242828156
Bacteroidota,CF11,3,89203,0.0033631155902828377
Bacteroidota,CF12,16824,89203,18.860352230306155
Bacteroidota,CF13,16677,89203,18.695559566382297
Bacteroidota,CF14,15299,89203,17.150768471912382
Bacteroidota,CF15_17,5,89203,0.0056051926504713965
Bacteroidota,CF16,1669,89203,1.8710133067273524
Bacteroidota,CF17_20,10136,89203,11.362846541035616
Bacteroidota,CF18,7236,89203,8.111834803762205
Bacteroidota,CF19,580,89203,0.650202347454682
Bacteroidota,CF20,127,89203,0.14237189332197348
Bacteroidota,CF21,5722,89203,6.414582469199466
Bacteroidota,CF22,698,89203,0.782484894005807
Bacteroidota,CF23,6584,89203,7.380917682140735
Bacteroidota,CF24,15617,89203,17.507258724482362
Bacteroidota,CF25,260,89203,0.29147001782451265
Bacteroidota,CF26,2421,89203,2.7140342813582503
Bacteroidota,CF2_10,1109,89203,1.2432317298745559
Bacteroidota,CF2_4,2244,89203,2.515610461531563
Bacteroidota,CF3,1362,89203,1.5268544779884086
Bacteroidota,CF4,3491,89203,3.913545508559129
Bacteroidota,CF5,12899,89203,14.46027599968611
Bacteroidota,CF6,2983,89203,3.344057935271235
Bacteroidota,CF7,3959,89203,4.438191540643252
Bacteroidota,CF8,687,89203,0.77015347017477
Bacteroidota,CF9_9,14190,89203,15.907536742037824
Bacteroidota_A,CF1,11,2885,0.38128249566724437
Bacteroidota_A,CF12,1314,2885,45.545927209705376
Bacteroidota_A,CF13,1237,2885,42.87694974003466
Bacteroidota_A,CF14,1204,2885,41.733102253032925
Bacteroidota_A,CF15_17,1,2885,0.03466204506065858
Bacteroidota_A,CF16,1,2885,0.03466204506065858
Bacteroidota_A,CF17_20,232,2885,8.04159445407279
Bacteroidota_A,CF18,325,2885,11.265164644714037
Bacteroidota_A,CF19,8,2885,0.2772963604852686
Bacteroidota_A,CF20,44,2885,1.5251299826689775
Bacteroidota_A,CF21,121,2885,4.194107452339688
Bacteroidota_A,CF22,8,2885,0.2772963604852686
Bacteroidota_A,CF23,199,2885,6.897746967071057
Bacteroidota_A,CF24,1246,2885,43.18890814558059
Bacteroidota_A,CF25,1,2885,0.03466204506065858
Bacteroidota_A,CF26,1,2885,0.03466204506065858
Bacteroidota_A,CF2_10,17,2885,0.5892547660311959
Bacteroidota_A,CF2_4,43,2885,1.490467937608319
Bacteroidota_A,CF3,18,2885,0.6239168110918544
Bacteroidota_A,CF4,147,2885,5.095320623916811
Bacteroidota_A,CF5,934,2885,32.37435008665511
Bacteroidota_A,CF6,275,2885,9.532062391681109
Bacteroidota_A,CF7,169,2885,5.8578856152513
Bacteroidota_A,CF8,1,2885,0.03466204506065858
Bacteroidota_A,CF9_9,866,2885,30.017331022530332
Bdellovibrionota,CF0,14,784,1.7857142857142856
Bdellovibrionota,CF1,426,784,54.33673469387755
Bdellovibrionota,CF10,1,784,0.12755102040816327
Bdellovibrionota,CF12,540,784,68.87755102040816
Bdellovibrionota,CF13,526,784,67.09183673469387
Bdellovibrionota,CF14,472,784,60.204081632653065
Bdellovibrionota,CF15_17,14,784,1.7857142857142856
Bdellovibrionota,CF16,348,784,44.38775510204081
Bdellovibrionota,CF17_20,33,784,4.209183673469387
Bdellovibrionota,CF18,66,784,8.418367346938775
Bdellovibrionota,CF19,5,784,0.6377551020408163
Bdellovibrionota,CF21,14,784,1.7857142857142856
Bdellovibrionota,CF22,19,784,2.423469387755102
